compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
,1,480.51,2.348,0.0,126.96,3.0,9.0
"[(1r,6r,7r,7ar)-4-(acetyloxymethyl)-1-(3-methylbutanoyloxy)spiro[6,7a-dihydro-1h-cyclopenta[c]pyran-7,2'-oxirane]-6-yl] 3-methylbutanoate",1,422.474,2.662,0.0,100.66,3.0,8.0
,0,406.46,0.84,1.0,102.01,3.0,6.0
,1,434.504,2.609,2.0,100.9,4.0,3.0
,0,501.576,2.288,2.0,136.07,3.0,3.0
zinc263584296,1,424.49,2.742,0.0,100.66,3.0,8.0
,0,855.934,3.672,4.0,221.29,7.0,10.0
,1,588.509,8.93,0.0,26.3,4.0,6.0
,0,516.719,5.666,3.0,104.06,4.0,5.0
hms3652d17,1,418.505,3.494,1.0,80.67,4.0,2.0
,0,809.906,3.195,5.0,224.45,6.0,8.0
"[(4r,4ar,7r,7ar,12bs)-9-acetyloxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-7-yl] acetate",1,369.417,1.989,0.0,65.07,5.0,2.0
,1,416.558,4.931,1.0,80.67,4.0,5.0
,1,332.484,3.774,1.0,54.37,4.0,1.0
,1,318.501,4.595,1.0,37.3,4.0,1.0
,1,342.479,3.716,1.0,54.37,4.0,1.0
"(8r,9r,10s,11r,13s,14r,17r)-17-acetyl-11,17-dihydroxy-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-3-one",1,344.451,2.585,2.0,74.6,4.0,1.0
zinc25547986,1,376.468,2.923,2.0,74.6,4.0,1.0
,1,332.528,4.985,1.0,37.3,4.0,1.0
zinc118934164,1,316.485,4.205,1.0,37.3,5.0,1.0
,0,483.473,0.632,5.0,176.61,5.0,3.0
,0,513.499,0.726,6.0,196.84,5.0,3.0
schembl16606206,0,497.5,1.02,5.0,176.61,5.0,3.0
,1,376.468,2.923,2.0,74.6,4.0,1.0
,1,346.467,2.809,2.0,74.6,4.0,1.0
,1,386.532,4.608,0.0,52.6,5.0,1.0
,1,418.505,3.446,1.0,72.83,5.0,1.0
zinc1109,1,320.172,1.203,3.0,86.63,1.0,6.0
zinc9230627,0,463.556,1.324,2.0,128.03,3.0,6.0
zinc11616335,0,439.578,2.412,0.0,88.51,3.0,5.0
,1,462.652,4.095,2.0,91.67,4.0,3.0
,1,458.595,3.545,2.0,100.9,4.0,4.0
,1,518.622,4.016,1.0,99.13,5.0,4.0
ks-00002ww2,0,613.803,2.867,4.0,118.03,5.0,11.0
,0,670.855,3.092,5.0,166.75,5.0,12.0
"(2s,3s)-5-[(r)-3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydro-2,3-naphthalenediol",0,309.406,0.635,4.0,81.95,2.0,5.0
flerobuterol,1,211.28,2.247,2.0,32.26,1.0,3.0
butaclamol,1,361.529,4.845,1.0,23.47,5.0,0.0
nsc-25141,1,433.039,6.545,0.0,6.48,4.0,5.0
unii-n3o8l7r66h,1,228.719,2.709,2.0,40.46,1.0,3.0
zinc2041240,1,214.692,2.318,2.0,40.46,1.0,2.0
metaglycodol,1,214.692,2.318,2.0,40.46,1.0,2.0
,0,548.603,0.781,4.0,187.75,4.0,9.0
,0,546.045,2.987,3.0,125.04,4.0,8.0
,0,475.423,7.669,2.0,39.66,5.0,4.0
zinc100125124,1,285.431,3.883,1.0,23.47,3.0,2.0
,1,355.434,2.082,2.0,70.0,5.0,2.0
,1,540.697,4.704,1.0,99.13,6.0,5.0
,0,510.612,3.081,1.0,102.01,4.0,8.0
promoxolane,1,188.267,1.402,1.0,38.69,1.0,3.0
zinc4214115,1,235.327,2.462,1.0,30.49,2.0,5.0
(r)-amixetrine,1,261.409,3.886,0.0,12.47,2.0,7.0
,0,686.899,-0.135,7.0,231.84,2.0,21.0
,0,1882.332,4.372,21.0,548.99,8.0,53.0
,0,1141.47,1.228,10.0,325.46,5.0,16.0
,0,1843.295,3.891,20.0,533.2,7.0,53.0
,0,424.475,1.483,2.0,126.15,3.0,7.0
tocris-0427,0,654.606,3.193,3.0,118.21,7.0,5.0
(r)-oxaflozane,1,273.298,3.487,0.0,12.47,2.0,2.0
zinc1693020,1,328.283,4.368,2.0,32.26,4.0,3.0
"9-[1,3-di(propan-2-yloxy)propan-2-yloxymethyl]-3,6-dihydropurin-2-amine",1,325.413,1.316,2.0,95.92,2.0,9.0
(r)-bromisoval,1,223.07,0.601,2.0,72.19,0.0,2.0
,0,1083.284,1.566,6.0,332.4,1.0,7.0
unii-h61chr8d70,1,354.367,-1.437,4.0,171.37,2.0,8.0
"(1r,6s,8s)-6-propan-2-yl-3-azapentacyclo[11.8.1.03,8.09,22.016,21]docosa-9,11,13(22),16,18,20-hexaen-6-ol",1,347.502,4.455,1.0,23.47,5.0,1.0
ritonavir,0,720.962,5.905,4.0,145.78,4.0,17.0
,1,393.575,4.631,1.0,37.27,5.0,3.0
"(6r,7s)-7-[[(e)-2-(2-amino-1,3-thiazol-4-yl)pent-2-enoyl]amino]-3-(carbamoyloxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",0,453.502,0.353,4.0,177.94,3.0,7.0
,1,434.504,2.275,2.0,93.06,5.0,2.0
,1,339.366,-0.395,1.0,115.54,3.0,3.0
,1,564.606,4.64,1.0,112.27,7.0,4.0
,1,434.504,2.419,2.0,93.06,5.0,2.0
,1,416.514,2.327,2.0,93.06,5.0,2.0
,1,454.966,3.889,1.0,72.83,5.0,2.0
,1,438.536,2.723,2.0,93.06,5.0,2.0
,1,452.494,2.367,2.0,93.06,5.0,2.0
,1,520.569,3.328,1.0,99.13,6.0,4.0
,1,436.52,2.499,2.0,93.06,5.0,2.0
,1,505.841,5.129,0.0,52.6,5.0,2.0
,1,489.386,4.86,0.0,52.6,5.0,2.0
,1,487.395,3.883,1.0,72.83,5.0,2.0
chembl1590255,0,325.434,1.406,1.0,73.21,3.0,3.0
"(2r,5r,6s)-6-[(1-aminocyclohexanecarbonyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,341.433,0.28,3.0,112.73,3.0,3.0
"(2r,5r,6s)-6-[[(5r)-5-amino-5-carboxypentanoyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,359.404,-0.8,4.0,150.03,2.0,7.0
zinc9302321,0,350.396,0.697,2.0,95.94,3.0,5.0
,0,366.464,1.41,2.0,86.71,3.0,5.0
zinc2572643,0,334.397,0.861,2.0,86.71,3.0,4.0
,0,443.481,1.777,3.0,132.44,4.0,6.0
,1,384.435,0.548,3.0,124.01,3.0,5.0
,0,454.504,2.007,2.0,113.01,4.0,6.0
zinc2009531,0,384.435,0.548,3.0,124.01,3.0,5.0
schembl18872879,0,365.411,0.024,4.0,132.96,3.0,4.0
,0,481.53,1.646,2.0,128.03,5.0,5.0
6-epi-ampicillin,0,349.412,0.318,3.0,112.73,3.0,4.0
,0,729.79,-0.174,7.0,246.74,5.0,13.0
,0,521.555,1.438,4.0,161.82,5.0,6.0
zinc3875034,0,414.461,0.247,3.0,141.08,3.0,5.0
,0,510.576,0.486,5.0,164.58,4.0,8.0
,0,416.415,0.573,3.0,149.79,4.0,4.0
,0,405.476,1.117,3.0,110.18,4.0,3.0
,0,389.477,1.411,2.0,89.95,4.0,3.0
,0,672.702,0.773,8.0,266.27,5.0,9.0
zinc100037462,0,594.668,-0.589,2.0,182.48,5.0,7.0
"(2s,5s,6s)-3,3-dimethyl-7-oxo-6-[[(2r)-2-phenyl-2-(sulfoamino)acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,429.476,-0.248,4.0,153.11,3.0,6.0
,0,425.506,3.085,2.0,92.7,4.0,6.0
,0,494.569,2.496,2.0,113.01,5.0,6.0
,0,351.428,0.222,3.0,112.73,3.0,4.0
,0,549.653,1.458,4.0,140.2,5.0,8.0
,0,423.429,-1.156,4.0,193.74,2.0,9.0
(-)-camphor,1,152.237,2.402,0.0,17.07,2.0,0.0
ks-00000xum,0,349.412,0.349,3.0,112.73,3.0,4.0
,0,397.84,0.804,4.0,132.96,3.0,4.0
,0,440.503,-0.184,4.0,158.9,3.0,6.0
,0,414.487,0.728,3.0,111.1,4.0,5.0
zinc11592639,0,363.395,0.151,4.0,132.96,3.0,4.0
,0,461.54,1.245,2.0,128.03,3.0,6.0
"(10s,11r,12e,17e,19z,21s)-21-hydroxy-11,19-dimethyl-10-propan-2-yl-9,26-dioxa-3,15,28-triazatricyclo[23.2.1.03,7]octacosa-1(27),6,12,17,19,25(28)-hexaene-2,8,14,23-tetrone",0,525.602,2.659,2.0,139.04,3.0,1.0
schembl157330,1,368.82,3.28,0.0,49.85,4.0,1.0
,1,422.504,4.042,1.0,61.61,5.0,4.0
,1,269.344,2.37,1.0,32.7,5.0,0.0
,1,309.413,2.847,1.0,35.58,3.0,3.0
,1,672.8,4.841,3.0,156.02,7.0,6.0
,1,298.394,1.042,1.0,46.47,4.0,0.0
unii-thb9t1jz6c,1,309.453,4.15,0.0,20.31,2.0,7.0
zinc1481925,1,520.036,3.338,0.0,95.94,5.0,3.0
betamethasone dipropionate ep impurity e,1,521.05,4.087,1.0,106.97,4.0,6.0
,1,504.595,3.818,1.0,106.97,4.0,6.0
,1,508.558,3.328,1.0,99.13,5.0,4.0
,1,521.05,3.943,1.0,106.97,4.0,6.0
,0,813.979,2.767,3.0,206.05,3.0,12.0
,0,799.996,3.83,1.0,178.12,4.0,10.0
,1,466.977,4.103,1.0,80.67,4.0,4.0
,1,472.578,3.335,1.0,106.97,4.0,5.0
,1,482.589,4.133,1.0,80.67,4.0,3.0
,1,517.034,4.699,1.0,80.67,4.0,4.0
,1,500.579,4.43,1.0,80.67,4.0,4.0
betaprodine,1,261.365,2.807,0.0,29.54,2.0,3.0
,0,790.001,2.747,4.0,199.98,3.0,9.0
isopropoxyphene,1,339.479,4.276,0.0,29.54,2.0,8.0
,1,460.567,3.313,1.0,106.97,4.0,5.0
,1,462.558,3.511,1.0,89.9,4.0,5.0
,1,370.533,4.497,1.0,54.37,4.0,2.0
,1,360.494,3.199,2.0,74.6,4.0,2.0
chembl252103,1,340.492,4.832,0.0,23.55,3.0,5.0
,1,418.574,4.586,1.0,72.83,3.0,6.0
schembl614,1,183.251,1.128,1.0,46.17,1.0,2.0
,1,462.558,3.199,2.0,93.06,5.0,4.0
,1,384.476,3.979,1.0,66.18,3.0,6.0
,1,567.55,6.114,0.0,86.74,4.0,8.0
,1,432.557,3.133,2.0,100.9,4.0,5.0
"[(8r,9r,10r,11s,13r,14r,17s)-11-hydroxy-10,13-dimethyl-3-oxo-17-(2-propanoyloxyacetyl)-2,6,7,8,9,11,12,14,15,16-decahydro-1h-cyclopenta[a]phenanthren-17-yl] butanoate",1,488.621,4.094,1.0,106.97,4.0,7.0
,1,488.621,3.949,1.0,106.97,4.0,6.0
,1,508.558,3.52,1.0,106.97,4.0,6.0
,1,521.05,4.087,1.0,106.97,4.0,6.0
,1,428.569,4.326,1.0,80.67,4.0,4.0
,1,478.988,4.701,0.0,77.51,4.0,5.0
,1,446.584,3.523,2.0,100.9,4.0,6.0
,1,462.558,3.247,2.0,100.9,4.0,6.0
,1,444.568,3.299,2.0,100.9,4.0,6.0
zinc58482484,1,476.585,3.637,2.0,100.9,4.0,6.0
5-[(z)-n-(2-aminoethoxy)-c-pentylcarbonimidoyl]-2-methylaniline,1,263.385,2.837,2.0,73.63,1.0,8.0
,1,357.538,4.846,1.0,40.54,3.0,7.0
,1,474.613,4.768,1.0,80.67,4.0,7.0
,1,585.829,8.324,0.0,48.0,6.0,16.0
,1,684.955,7.913,2.0,127.2,4.0,21.0
,1,262.401,3.807,3.0,52.21,2.0,9.0
zinc1633927,1,287.4,3.354,1.0,70.78,1.0,10.0
zinc19168143,1,144.262,1.809,2.0,38.05,0.0,6.0
,1,368.477,2.309,2.0,61.8,5.0,5.0
unii-n1rx70k36c component drvzfwzgqkghqo-oyuwmtpxsa-n,1,537.829,9.313,0.0,38.77,4.0,11.0
,0,439.018,0.828,5.0,111.05,2.0,9.0
zinc2037958,1,274.361,2.414,2.0,90.65,0.0,9.0
zinc4213170,1,265.353,2.615,1.0,39.72,2.0,7.0
,1,446.559,3.988,1.0,80.67,4.0,5.0
zinc40163079,1,578.663,2.686,2.0,180.79,2.0,18.0
unii-5z48onn38p component qhzqilhujdrdai-ywzlykjasa-n,1,405.451,1.693,2.0,128.03,2.0,10.0
,0,374.434,-1.755,5.0,129.51,3.0,5.0
unii-6mdc25lqsr component wtbqlhrvrkxspx-mnovxskesa-n,1,215.337,2.09,2.0,49.33,0.0,8.0
"(3r,4as,10as)-3-(diethylsulfamoylamino)-6-hydroxy-1-propyl-3,4,4a,5,10,10a-hexahydro-2h-benzo[g]quinoline",1,395.569,2.136,2.0,72.88,3.0,7.0
unii-3t29053xgs component auvlzbktwscaim-nshdsacasa-n,1,248.282,2.3,1.0,58.64,2.0,3.0
tetrabarbital,1,240.303,1.575,2.0,75.27,1.0,5.0
thiotetrabarbital,1,256.371,1.74,2.0,58.2,1.0,5.0
,1,568.61,4.258,1.0,117.59,5.0,6.0
126-93-2,1,157.213,0.819,1.0,55.62,1.0,4.0
,1,411.542,3.164,2.0,62.16,7.0,4.0
,1,453.579,3.241,1.0,68.23,8.0,5.0
pyrovalerone,1,245.366,3.442,0.0,20.31,2.0,5.0
"5-ethyl-2-hydroxy-5-[(2s)-pentan-2-yl]-1,3-diazinane-4,6-dione",1,228.292,0.341,3.0,78.43,1.0,4.0
,0,504.97,0.507,5.0,148.79,2.0,9.0
,0,424.991,0.39,4.0,102.26,2.0,7.0
,0,406.545,-0.857,5.0,122.49,2.0,7.0
,1,430.541,2.717,2.0,93.06,5.0,4.0
,1,468.537,2.981,2.0,93.06,5.0,4.0
"3-[(3s,4s)-1,3-dimethyl-4-propylpiperidin-4-yl]phenol",1,247.382,3.402,1.0,23.47,2.0,3.0
"n-[3-(3-cyano-1,2-dihydropyrazolo[1,5-a]pyrimidin-7-yl)phenyl]-n-ethylacetamide",1,307.357,2.04,1.0,71.73,3.0,3.0
,0,836.98,5.848,6.0,229.27,5.0,6.0
,0,810.938,5.296,5.0,210.62,5.0,7.0
"3-[(6ar,9r,10as)-7-methyl-6,6a,8,9,10,10a-hexahydro-4h-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea",1,340.471,2.932,2.0,51.37,4.0,3.0
nsc 108159,1,404.507,2.423,0.0,68.31,3.0,6.0
zinc5368369,1,292.423,2.162,0.0,40.62,2.0,6.0
,1,473.61,2.45,2.0,104.14,4.0,7.0
,1,475.626,2.674,2.0,104.14,4.0,7.0
"2-(diethylamino)ethyl (2r,5s,6s)-6-[(2,6-dimethoxybenzoyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",0,479.599,1.75,1.0,97.41,3.0,10.0
,1,376.526,2.056,2.0,68.44,4.0,5.0
(r)-profenamine,1,312.482,5.02,0.0,6.48,3.0,5.0
,0,809.979,6.504,5.0,197.21,5.0,5.0
unii-76444vie9p,1,304.39,2.112,1.0,58.64,2.0,6.0
ncgc00184999-01,1,354.472,1.703,1.0,75.71,2.0,7.0
zinc3830429,0,645.68,-1.112,4.0,220.26,5.0,9.0
"(2s,5s,6s)-6-[[(2s)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,517.564,-0.24,3.0,156.43,4.0,6.0
zinc302,1,204.229,1.25,1.0,50.69,2.0,2.0
unii-wjm15a06j6,1,302.83,4.964,1.0,24.39,3.0,2.0
unii-963e1x3t2s,1,300.789,4.422,1.0,33.62,3.0,2.0
,0,346.298,1.66,3.0,86.76,1.0,8.0
zinc1708380,1,219.328,2.386,1.0,21.26,2.0,5.0
,0,475.587,-3.201,8.0,199.73,3.0,8.0
schembl1240370,1,215.34,3.178,1.0,12.03,3.0,3.0
tiletamine,1,223.341,2.696,1.0,29.1,2.0,3.0
,0,862.064,2.68,4.0,226.28,3.0,12.0
unii-057sf9c1uz component zadjrrfmooachl-wrbweijpsa-n,1,466.549,4.954,2.0,75.99,4.0,8.0
carbenzide,1,208.261,1.998,2.0,50.36,1.0,4.0
(r)-carbocloral,1,236.482,1.421,2.0,58.56,0.0,2.0
,0,806.0,2.966,4.0,209.21,3.0,9.0
"[2-[(8r,9r,10r,11r,13s,14r,17s)-17-ethoxycarbonyloxy-11-hydroxy-10,13-dimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6h-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] propanoate",1,488.577,3.699,1.0,116.2,4.0,6.0
,0,441.55,2.384,0.0,97.74,3.0,6.0
,1,466.958,3.917,1.0,99.13,4.0,4.0
unii-rr2f99e79b,1,360.772,3.2,1.0,67.76,3.0,3.0
cis-tilidine,1,273.376,2.768,0.0,29.54,2.0,4.0
unii-8n2p6k7x3j,1,262.284,2.808,0.0,44.12,2.0,4.0
,0,673.668,0.951,5.0,230.6,5.0,11.0
,1,448.95,4.643,0.0,51.54,5.0,4.0
(r)-etazepine,1,267.328,3.403,0.0,29.54,3.0,2.0
,1,405.623,4.15,1.0,49.77,4.0,4.0
unii-13go737hio,1,402.495,3.126,2.0,110.73,3.0,7.0
"(2s,5s,6r)-6-[[(2-ethoxy-1-naphthalenyl)-oxomethyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,414.483,2.484,2.0,95.94,4.0,5.0
zinc2015185,0,414.483,2.484,2.0,95.94,4.0,5.0
(r)-viloxazine,1,237.299,1.452,1.0,39.72,2.0,5.0
reboxetine,1,313.397,3.194,1.0,39.72,3.0,6.0
,1,410.62,5.17,1.0,37.3,4.0,3.0
fenbutrazate,1,367.489,4.185,0.0,38.77,3.0,7.0
,1,390.52,3.95,1.0,72.83,3.0,6.0
schembl79255,1,212.249,0.795,2.0,75.27,1.0,3.0
"(1,1-dimethylpiperidin-1-ium-4-yl) (2r,3r)-3-methyl-2-phenylpentanoate",0,304.454,3.598,0.0,26.3,2.0,5.0
zinc1999415,1,274.361,2.269,2.0,90.65,0.0,7.0
,0,707.663,5.092,1.0,101.62,7.0,11.0
unii-19vo3dpf3g,1,188.274,2.448,2.0,41.81,2.0,3.0
"(2s,5s,6s)-3,3-dimethyl-7-oxo-6-[[(2r)-2-phenoxybutanoyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0,378.45,1.476,2.0,95.94,3.0,6.0
zinc1692920,1,217.268,1.627,1.0,46.17,2.0,2.0
,1,367.489,3.35,0.0,38.77,6.0,4.0
,0,823.904,1.204,4.0,224.72,6.0,6.0
,0,1127.443,0.982,10.0,325.46,5.0,16.0
,0,762.979,2.219,5.0,198.43,3.0,8.0
,0,835.086,2.202,5.0,196.33,4.0,12.0
,0,751.927,1.878,5.0,193.91,3.0,7.0
,0,717.938,2.671,4.0,173.68,3.0,7.0
zinc3604292,1,208.099,1.671,1.0,43.09,0.0,3.0
paramethadione,1,157.169,0.764,0.0,46.61,1.0,1.0
,0,753.941,2.732,5.0,164.82,9.0,6.0
,0,811.878,3.158,4.0,217.05,7.0,9.0
unii-xrp67fe31n,1,336.347,2.253,1.0,83.55,3.0,3.0
"(5r)-5-ethyl-1-methyl-5-phenyl-1,3-diazinane-2,4,6-trione",1,246.266,1.043,1.0,66.48,2.0,2.0
unii-8g09z6af2t component negmmkyavynlcg-gfccvegcsa-n,1,218.256,1.474,1.0,49.41,2.0,2.0
(s)-glutethimide,1,217.268,1.771,1.0,46.17,2.0,2.0
(s)-mephenytoin,1,218.256,1.474,1.0,49.41,2.0,2.0
unii-h0x939rx9w component anpjdcdlxknsps-lbprgkrzsa-n,1,218.256,0.538,2.0,58.2,2.0,2.0
,0,810.989,3.991,3.0,154.1,9.0,7.0
,0,824.972,3.518,3.0,171.17,9.0,8.0
,1,299.458,4.107,1.0,23.47,4.0,3.0
,1,313.485,4.497,1.0,23.47,4.0,3.0
schembl3648819,1,186.255,1.254,2.0,72.19,0.0,4.0
levitiracetam,1,170.212,-0.127,1.0,63.4,1.0,3.0
"pentanamide, 2-ethyl-3-methyl-, (2s,3s)-",1,143.23,1.544,1.0,43.09,0.0,4.0
,0,1424.736,-2.16,18.0,530.54,4.0,35.0
,0,1115.432,0.764,10.0,339.45,4.0,33.0
gnf-pf-138,0,480.649,4.943,1.0,52.19,5.0,7.0
,0,866.973,1.27,4.0,227.96,6.0,7.0
,0,748.996,1.901,5.0,180.08,3.0,7.0
,0,837.058,2.21,5.0,216.89,3.0,13.0
,0,733.937,1.786,5.0,193.91,3.0,7.0
,0,747.964,2.44,4.0,182.91,3.0,8.0
,1,451.607,3.547,1.0,51.16,8.0,6.0
zinc375,1,209.245,1.38,2.0,72.55,1.0,4.0
zinc33903721,1,245.366,2.829,1.0,23.47,3.0,1.0
,0,941.037,3.107,5.0,241.91,9.0,9.0
(r)-aminoglutethimide,1,232.283,1.353,2.0,72.19,2.0,2.0
zinc26376398,1,261.365,2.807,1.0,30.49,3.0,3.0
"(2-amino-2-oxoethyl)-[3-[(6r,7r)-7-[[2-(5-amino-1,2,4-thiadiazol-3-yl)-2-(fluoromethoxyimino)acetyl]amino]-2-carboxy-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]prop-2-enyl]-ethyl-methylazanium",0,557.61,-0.985,4.0,203.19,3.0,12.0
schembl147024,1,276.38,1.963,1.0,45.33,3.0,3.0
piquindone,1,246.354,2.192,1.0,36.1,3.0,1.0
etymemazine,1,326.509,5.049,0.0,6.48,3.0,5.0
,1,268.404,4.681,2.0,24.06,2.0,6.0
zinc2020075,1,302.487,4.117,0.0,8.17,3.0,4.0
schembl2473545,1,414.549,4.085,1.0,43.78,4.0,7.0
schembl6624015,1,425.4,4.56,0.0,32.78,4.0,4.0
2-(2-aminophenyl)-n-[(1r)-2-[(3s)-3-hydroxypyrrolidin-1-yl]-1-phenylethyl]-n-methylacetamide,0,353.466,2.078,2.0,69.8,3.0,6.0
,1,477.352,1.437,3.0,120.13,3.0,7.0
unii-1c2ho1ns77,1,371.824,3.178,0.0,62.21,3.0,2.0
zinc2031526,1,204.229,1.202,0.0,41.9,2.0,1.0
chembl2105588,1,312.844,4.649,1.0,15.27,3.0,3.0
chlorprothixene,1,315.869,5.188,0.0,3.24,3.0,3.0
(r)-citalopram,1,324.399,3.813,0.0,36.26,3.0,5.0
unii-i8ab3p944k component xazvhbvujrrlhh-nrsptqnisa-n,1,315.501,4.392,0.0,12.47,3.0,6.0
zinc1481742,1,311.469,4.652,0.0,12.47,2.0,6.0
unii-6m09zns9d1,1,303.833,4.182,0.0,12.47,2.0,6.0
gamfexine,1,245.41,4.302,0.0,3.24,2.0,5.0
pirandamine,1,257.377,3.127,0.0,12.47,3.0,3.0
zinc5062865,1,263.384,3.951,0.0,3.24,3.0,4.0
prestwick-07a03,0,525.642,-0.653,3.0,172.46,4.0,10.0
unii-80o018lgci component cmebtcwurhmcee-dnvcbolysa-n,1,311.381,2.757,0.0,30.93,4.0,2.0
(r)-aminopromazine,1,327.497,3.781,0.0,9.72,3.0,5.0
clemeprol,1,289.806,3.394,1.0,23.47,2.0,5.0
"(4s,4ar,5ar,6s,12ar)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",0,478.885,0.282,6.0,181.62,4.0,2.0
zinc29747105,0,464.858,0.108,6.0,181.62,4.0,2.0
zinc13783190,0,460.439,-1.4,7.0,201.85,4.0,2.0
schembl20717481,0,429.429,-0.454,6.0,187.41,4.0,2.0
,0,585.61,0.171,7.0,208.17,5.0,5.0
,0,586.642,-1.016,7.0,194.34,5.0,6.0
,0,602.641,-0.454,9.0,242.98,4.0,10.0
,0,805.863,0.337,9.0,266.37,7.0,9.0
,0,630.651,-1.563,8.0,231.64,5.0,7.0
zinc2007119,1,250.292,2.865,1.0,19.03,3.0,1.0
"(4r,4ar,5ar,6r,12as)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-n-(pyrrolidin-1-ylmethyl)-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",0,527.574,0.313,6.0,170.87,5.0,4.0
zinc575338663,0,444.44,-0.371,6.0,181.62,4.0,2.0
,0,508.911,0.02,7.0,187.86,4.0,3.0
,0,430.413,-0.388,6.0,181.62,4.0,2.0
,0,459.411,0.029,5.0,204.53,4.0,3.0
unii-67x231s15e,1,262.18,2.849,1.0,23.47,1.0,4.0
,0,206.253,-0.756,3.0,78.57,2.0,2.0
cas-13614-98-7,0,457.483,0.03,5.0,164.63,4.0,3.0
,0,1001.056,-0.375,12.0,341.74,8.0,11.0
d-amethopterin,0,454.447,0.268,5.0,210.54,3.0,9.0
(r)-sabeluzole,1,415.534,3.776,1.0,48.83,4.0,7.0
zinc1999513,1,308.186,2.269,0.0,54.45,2.0,1.0
r-(+)-cotinine,1,176.219,1.375,0.0,33.2,2.0,1.0
39122-23-1,1,203.241,1.333,0.0,37.38,2.0,1.0
phensuximide,1,189.214,1.159,0.0,37.38,2.0,1.0
(r)-temazepam,1,300.745,2.472,1.0,52.9,3.0,1.0
unii-74xyo90u63,1,318.735,2.611,1.0,52.9,3.0,1.0
schembl149458,1,386.586,4.901,0.0,29.54,4.0,4.0
zinc1319936,1,314.86,4.067,0.0,6.48,3.0,3.0
schembl17756664,1,310.466,4.631,0.0,6.48,4.0,2.0
"dabelotine, (r)-",1,262.353,1.436,1.0,33.73,3.0,3.0
zinc31983000,1,477.999,3.032,0.0,78.87,5.0,2.0
zopiclone,1,388.815,1.568,0.0,91.76,4.0,2.0
,1,342.493,3.337,0.0,42.63,4.0,1.0
,1,442.6,1.813,2.0,81.08,5.0,3.0
unii-w30o8i2c4v,1,300.833,3.677,0.0,6.48,3.0,3.0
unii-090de9crp1 component ichhtomwwamjqp-zdusscgksa-n,1,315.417,2.859,0.0,18.84,4.0,1.0
(r)-aptazapine,1,253.349,2.343,0.0,11.41,4.0,0.0
(-)-nefopam,1,253.345,3.238,0.0,12.47,3.0,1.0
unii-63z1842q5i,1,310.466,4.631,0.0,6.48,4.0,2.0
eptazocine,1,231.339,2.548,1.0,23.47,3.0,0.0
,1,285.343,1.63,1.0,49.77,5.0,0.0
"(4s,4as,7ar,12br)-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1h-4,12-methanobenzofuro[3,2-e]isoquinolin-9-ol",1,271.36,2.451,1.0,32.7,5.0,0.0
,1,299.37,2.02,1.0,49.77,5.0,0.0
,1,301.342,0.745,2.0,70.0,5.0,0.0
,1,301.386,1.812,2.0,52.93,5.0,0.0
alpha-isomorphine,1,285.343,1.198,2.0,52.93,5.0,0.0
,1,303.358,0.537,3.0,73.16,5.0,0.0
,1,495.535,3.366,0.0,90.85,7.0,4.0
odapipam,1,329.827,3.6,1.0,32.7,4.0,1.0
romergoline,1,350.422,0.996,2.0,68.44,5.0,2.0
,1,297.829,4.206,0.0,3.24,4.0,1.0
18051-18-8,1,265.36,3.042,1.0,42.82,4.0,1.0
pdsp1_001705,1,347.487,4.225,1.0,31.92,5.0,3.0
"(6ar,9r,10ar)-9-(dimethylsulfamoylamino)-4,7-dimethyl-6,6a,8,9,10,10a-hexahydroindolo[4,3-fg]quinoline",1,362.499,1.287,1.0,57.58,4.0,3.0
